,https://api.github.com/repos/symfony/symfony,https://api.github.com/repos/facebook/react-native,https://api.github.com/repos/vuetifyjs/vuetify,https://api.github.com/repos/influxdata/influxdb,https://api.github.com/repos/tensorflow/tensorflow,https://api.github.com/repos/eclipse/sumo,https://api.github.com/repos/ampproject/amphtml,https://api.github.com/repos/Azure/azure-cli,https://api.github.com/repos/PowerShell/PowerShell,https://api.github.com/repos/saltstack/salt,https://api.github.com/repos/hashicorp/terraform-provider-aws,https://api.github.com/repos/laravel/framework,https://api.github.com/repos/eclipse/che,https://api.github.com/repos/angular/components,https://api.github.com/repos/twbs/bootstrap,https://api.github.com/repos/FortAwesome/Font-Awesome,https://api.github.com/repos/microsoft/vscode,https://api.github.com/repos/WordPress/gutenberg,https://api.github.com/repos/golang/go,https://api.github.com/repos/Automattic/wp-calypso,https://api.github.com/repos/elastic/kibana,https://api.github.com/repos/appium/appium,https://api.github.com/repos/keras-team/keras,https://api.github.com/repos/apple/swift,https://api.github.com/repos/spring-projects/spring-framework,https://api.github.com/repos/matomo-org/matomo,https://api.github.com/repos/PrestaShop/PrestaShop,https://api.github.com/repos/pytorch/pytorch,https://api.github.com/repos/MarlinFirmware/Marlin,https://api.github.com/repos/spring-projects/spring-boot,https://api.github.com/repos/ionic-team/ionic-framework,https://api.github.com/repos/hashicorp/terraform,https://api.github.com/repos/apache/echarts,https://api.github.com/repos/brave/brave-browser,https://api.github.com/repos/grafana/grafana,https://api.github.com/repos/fastlane/fastlane,https://api.github.com/repos/ckeditor/ckeditor5,https://api.github.com/repos/owncloud/core,https://api.github.com/repos/ballerina-platform/ballerina-lang,https://api.github.com/repos/ant-design/ant-design,https://api.github.com/repos/spyder-ide/spyder,https://api.github.com/repos/ytdl-org/youtube-dl,https://api.github.com/repos/dotnet/efcore,https://api.github.com/repos/dotnet/aspnetcore,https://api.github.com/repos/CleverRaven/Cataclysm-DDA,https://api.github.com/repos/yugabyte/yugabyte-db,https://api.github.com/repos/ansible/ansible,https://api.github.com/repos/frappe/erpnext,https://api.github.com/repos/angular/angular-cli,https://api.github.com/repos/jOOQ/jOOQ,https://api.github.com/repos/Jackett/Jackett,https://api.github.com/repos/zephyrproject-rtos/zephyr,https://api.github.com/repos/rails/rails,https://api.github.com/repos/moby/moby,https://api.github.com/repos/dbeaver/dbeaver,https://api.github.com/repos/phpmyadmin/phpmyadmin,https://api.github.com/repos/RocketChat/Rocket.Chat,https://api.github.com/repos/electron/electron,https://api.github.com/repos/godotengine/godot,https://api.github.com/repos/vector-im/element-web,https://api.github.com/repos/dotnet/runtime,https://api.github.com/repos/dotnet/roslyn,https://api.github.com/repos/grpc/grpc,https://api.github.com/repos/telegramdesktop/tdesktop,https://api.github.com/repos/qgis/QGIS,https://api.github.com/repos/Yoast/wordpress-seo,https://api.github.com/repos/dotnet/AspNetCore.Docs,https://api.github.com/repos/joomla/joomla-cms,https://api.github.com/repos/elementor/elementor,https://api.github.com/repos/iterate-ch/cyberduck,https://api.github.com/repos/TrinityCore/TrinityCore,https://api.github.com/repos/highcharts/highcharts,https://api.github.com/repos/facebook/react,https://api.github.com/repos/pandas-dev/pandas,https://api.github.com/repos/freeCodeCamp/freeCodeCamp,https://api.github.com/repos/yiisoft/yii2,https://api.github.com/repos/PaddlePaddle/Paddle,https://api.github.com/repos/magento/magento2,https://api.github.com/repos/nextcloud/server,https://api.github.com/repos/cypress-io/cypress,https://api.github.com/repos/qbittorrent/qBittorrent,https://api.github.com/repos/microsoft/TypeScript,https://api.github.com/repos/sourcegraph/sourcegraph,https://api.github.com/repos/odoo/odoo,https://api.github.com/repos/atom/atom,https://api.github.com/repos/numpy/numpy,https://api.github.com/repos/dotnet/sdk,https://api.github.com/repos/gatsbyjs/gatsby,https://api.github.com/repos/mrdoob/three.js,https://api.github.com/repos/microsoft/terminal,https://api.github.com/repos/angular/angular,https://api.github.com/repos/elastic/elasticsearch,https://api.github.com/repos/ClickHouse/ClickHouse,https://api.github.com/repos/rancher/rancher,https://api.github.com/repos/woocommerce/woocommerce
2015-03-31 00:00:00+00:00,328,325,,392,,161,,,,988,,487,,,425,560,,,758,,653,414,11,,278,375,,,202,414,516,300,321,,335,322,29,1318,,,2153,559,347,148,367,,351,356,,246,,,431,876,,180,,280,357,,665,881,387,218,458,229,3,438,,250,443,336,330,323,168,756,,198,,8,324,655,,591,1122,137,,,257,,395,710,,330,572
2015-06-30 00:00:00+00:00,380,801,,573,,98,,,,1048,,496,,,356,515,,,1092,,572,393,173,,288,348,,,237,463,495,605,293,,478,370,5,1149,,16.0,133,564,330,241,357,,491,358,,223,,,351,990,,190,172.0,532,500,,598,820,391,220,466,277,207,257,,186,341,272,332,352,721,630,,226,,37,358,737,,513,1139,115,,8.0,231,,811,755,,905,416
2015-09-30 00:00:00+00:00,346,876,,653,,106,189.0,,,994,,418,,,599,515,,,1200,,422,305,298,,325,322,,,149,534,370,476,295,,484,581,12,1272,,196.0,159,630,473,232,289,,659,295,24.0,161,,,323,1014,,142,417.0,572,230,174.0,725,842,453,256,368,269,48,250,,129,446,260,395,362,1889,533,,472,,20,399,955,1.0,453,1105,130,,29.0,252,,886,873,,793,532
2015-12-31 00:00:00+00:00,447,1285,,578,584.0,102,321.0,,,1067,,467,24.0,,556,459,1554.0,,880,1285.0,426,234,434,233.0,295,290,,,146,595,380,578,248,,564,893,79,968,,313.0,121,801,582,238,353,,673,230,55.0,266,95.0,,350,939,125.0,195,505.0,648,366,313.0,982,948,465,277,485,531,160,301,,150,335,265,377,417,1383,400,,760,,25,483,881,0.0,582,1011,185,421.0,25.0,324,,1045,891,,948,460
2016-03-31 00:00:00+00:00,391,924,,530,584.0,119,631.0,7.0,601.0,805,,534,427.0,113.0,450,431,2923.0,,1131,890.0,458,295,581,400.0,260,255,,,205,548,983,847,604,,638,848,187,1196,,387.0,139,746,550,169,434,,961,243,117.0,274,90.0,143.0,494,1114,163.0,244,651.0,648,674,632.0,1420,1274,590,366,463,428,100,401,,198,433,271,327,423,1460,474,,952,,25,427,1046,0.0,457,862,206,819.0,85.0,300,,1214,765,,1079,433
2016-06-30 00:00:00+00:00,328,930,,358,827.0,185,417.0,160.0,210.0,812,,534,180.0,314.0,331,446,3522.0,,1050,621.0,424,243,753,403.0,297,138,,,419,542,989,729,592,,743,663,288,777,,764.0,137,664,656,256,532,,728,294,566.0,165,67.0,309.0,364,1119,214.0,152,628.0,808,771,296.0,1604,943,426,317,499,491,163,385,59.0,197,401,267,363,430,1089,366,,1251,113.0,62,309,1124,0.0,307,568,127,987.0,50.0,356,,1269,720,18.0,1035,488
2016-09-30 00:00:00+00:00,323,992,,245,1011.0,73,598.0,284.0,522.0,797,,604,636.0,374.0,378,377,4215.0,,974,628.0,399,264,612,449.0,333,141,1.0,35.0,369,672,1048,885,631,,565,565,315,460,,783.0,156,618,506,162,481,,611,484,906.0,158,95.0,477.0,369,1264,215.0,166,520.0,716,788,529.0,1531,806,375,240,409,456,119,448,242.0,97,310,285,303,387,1090,356,71.0,1265,472.0,69,266,1305,0.0,313,553,123,419.0,80.0,284,,1537,693,44.0,783,445
2016-12-31 00:00:00+00:00,341,909,51.0,222,1139.0,155,604.0,341.0,268.0,662,,557,495.0,565.0,388,284,4511.0,,1060,620.0,486,668,705,318.0,297,230,1.0,150.0,379,555,1251,956,647,3.0,712,629,286,279,113.0,909.0,244,525,521,123,574,,775,446,1036.0,141,221.0,430.0,297,1042,280.0,179,530.0,544,452,328.0,1400,756,394,253,312,429,159,425,185.0,76,468,410,260,359,959,330,503.0,1014,540.0,107,299,1368,0.0,432,489,133,740.0,75.0,272,,1119,780,70.0,1120,455
2017-03-31 00:00:00+00:00,393,963,204.0,287,1502.0,196,695.0,486.0,257.0,766,,658,640.0,827.0,581,291,5337.0,113.0,1162,633.0,679,473,816,440.0,292,232,1.0,402.0,315,817,1020,1098,569,0.0,678,561,422,272,768.0,853.0,263,764,503,115,361,,1218,510,1380.0,233,266.0,455.0,383,1053,382.0,170,688.0,503,457,509.0,1649,898,463,390,333,415,144,662,216.0,105,468,327,245,391,1380,300,355.0,819,655.0,105,275,1275,0.0,358,420,169,844.0,62.0,250,,1157,722,92.0,1117,657
2017-06-30 00:00:00+00:00,389,1061,437.0,184,1338.0,214,661.0,502.0,328.0,578,892.0,502,509.0,923.0,357,275,5722.0,615.0,875,971.0,789,582,800,445.0,289,124,2.0,419.0,533,706,982,1082,666,0.0,572,512,359,348,212.0,892.0,234,665,551,152,263,,1290,649,800.0,284,183.0,372.0,366,637,307.0,170,462.0,544,697,567.0,2420,786,530,350,332,365,95,820,228.0,92,353,350,317,426,1185,243,507.0,722,737.0,65,298,1320,9.0,305,647,168,548.0,194.0,238,,1292,713,96.0,807,1254
